source_stage,source_dir,source_csv,candidate_count,status,runtime_seconds,std,min,max,count,budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,swap_from_best_random_trace,1.0,0.0,1.8027483168724368,,,,254.8004431919955,,,,131.20011020042307,,,,804.9061278300937,,,,0.0358962592262875,,,,0.4309003358786359,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,swap_from_greedy_a_trace,1.0,0.0,1.6945666145278435,,,,249.30639316256529,,,,128.6137373251994,,,,854.5465569043888,,,,0.0352305114220355,,,,0.3055299974668775,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,swap_from_scenario_average,1.0,0.0,1.660979192744742,,,,252.41486419917692,,,,123.28774714710848,,,,905.6860558428216,,,,0.0372437753483098,,,,0.2666059803358381,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,top_variance,1.0,0.0,1.6241105577584194,,,,365.34597494398486,,,,178.4729537491104,,,,1514.6376830720258,,,,0.060086035112792,,,,0.2238794087914971,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,validation_swap,1.0,0.0,1.4217926178932505,,,,304.27380150230886,,,,152.11719969545038,,,,833.3281065452192,,,,0.0356240200732564,,,,0.0,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,coverage,1.0,0.0,1.6608396977214233,,,,304.99176202041605,,,,142.6528982707108,,,,1283.125553476915,,,,0.0386308099006583,,,,0.2227206090554349,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,degree,1.0,0.0,1.9442593236655783,,,,345.52830860088835,,,,160.25295956407146,,,,1652.5023737186611,,,,0.1400114568053675,,,,0.6248879155564037,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,graph_sampling_laplacian,1.0,0.0,1.8905460734058448,,,,361.892034021624,,,,189.9766055760545,,,,2601.7514843157023,,,,0.12752723721967,,,,0.5486697880770255,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,greedy_a_trace,1.0,0.0,1.6937831905509315,,,,252.7847156076752,,,,127.93720059302235,,,,827.4429067049239,,,,0.0354842330684903,,,,0.2694668276133122,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,greedy_d_logdet,1.0,0.0,2.049730728816465,,,,285.7083645759104,,,,130.15655740475833,,,,2495.738821564474,,,,0.0488947808357289,,,,0.7745499256627968,,,
