source_stage,source_dir,source_csv,budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,layout_type,mean,std,count
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,multistart_swap_by_validation,1.2571450659116366,0.2245059438467671,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,greedy_a_trace,1.2849357972384297,0.2569133036626938,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,greedy_d_logdet,2.7589491944528373,2.118343256844491,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,observability_proxy,1.5375372919952888,0.1103726389150132,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,graph_sampling_laplacian,1.2193815027741786,0.2255534131586103,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,qr_pod_modes,1.249117165737935,0.1757968915246662,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,validation_swap_selected,1.34196034947941,0.0344937955496305,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,rcss_selected,1.3418196243325855,0.1521581100441338,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,1.25383888710157,0.2272611384275281,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,greedy_a_trace,1.2772084399139665,0.253872675549174,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,greedy_d_logdet,2.808859540416548,2.1987440691204174,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,observability_proxy,1.5451156355758693,0.0858005262434765,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,1.2233550345583235,0.2047000202089072,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,qr_pod_modes,1.2314064894793428,0.1909553657745304,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,validation_swap_selected,1.3102651697836147,0.072298242299607,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,rcss_selected,1.3481929758267883,0.1439490814411182,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,1.2613082393349595,0.2385233158557356,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,greedy_a_trace,1.2731018707313446,0.2572388346376473,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,greedy_d_logdet,3.1821764115574664,2.7262815072723767,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,observability_proxy,1.5470692773831245,0.1148255307379917,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,1.2307635732966815,0.2215117272158004,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,qr_pod_modes,1.259146918467109,0.1547260955280351,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,validation_swap_selected,1.3575300489166613,0.0243890659812911,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,rcss_selected,1.359177900773716,0.1922836694099062,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,1.223599495983948,0.2222601238567768,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,greedy_a_trace,1.2705205179475882,0.2678740593593621,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,greedy_d_logdet,3.526472484704274,2.957225776782266,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,observability_proxy,1.57832875635648,0.0721535707355148,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,1.2230018405425531,0.1980790905442255,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,qr_pod_modes,1.2635005553775729,0.2001053457139243,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,validation_swap_selected,1.4087598283095766,0.0952463893218943,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,rcss_selected,1.403690126977844,0.1444023226182842,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,multistart_swap_by_validation,1.2966619717168644,0.1945650127177625,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,greedy_a_trace,1.3308917146029746,0.2873280164648205,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,greedy_d_logdet,2.9002719028884894,2.2057264674221573,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,observability_proxy,1.5852600513033552,0.0641148299532955,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,graph_sampling_laplacian,1.2459259800491018,0.202518869466157,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,qr_pod_modes,1.2942922729089186,0.1325503485113918,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,validation_swap_selected,1.309870656575137,0.089579837557987,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,rcss_selected,1.3405840578211785,0.1454813697964729,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,multistart_swap_by_validation,1.2548790519095472,0.2247653505614652,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,greedy_a_trace,1.284354417628473,0.2519535404358942,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,greedy_d_logdet,2.9118209145815204,2.313209772907081,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,observability_proxy,1.5247480515938503,0.0893697690343891,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,graph_sampling_laplacian,1.2142934430008108,0.2187148351141594,2
stage14_robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness,gls_map_layout_summary.csv,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,qr_pod_modes,1.264566567431372,0.1633891369186502,2
