dataset,budget,split_seed,default_trace_mae,calibrated_trace_mae,best_baseline_layout,best_baseline_mae,default_delta,calibrated_delta,trace_mae_improvement,calibrated_beats_best_baseline,probe_scope
PeMS7_1026,0.3,25,3.1060981131491783,3.0626952687347573,validation_swap_selected,3.1235225773819058,-0.017424464232727477,-0.06082730864714847,0.043402844414420994,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,26,3.15716257654726,3.1195034219852595,validation_swap_selected,3.168167655238107,-0.011005078690846659,-0.0486642332528473,0.03765915456200064,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,27,2.8512984405031263,2.8338783794961784,validation_swap_selected,2.8383660198469745,0.012932420656151855,-0.004487640350796074,0.01742006100694793,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,28,2.7938802216701184,2.7606965955649656,greedy_a_trace,2.8124232592321703,-0.01854303756205189,-0.051726663667204686,0.0331836261051528,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,29,3.053500741940648,3.008328183824285,validation_swap_selected,3.0310466563841003,0.02245408555654782,-0.022718472559815517,0.04517255811636334,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,30,2.839035063348965,2.8227480015245705,validation_swap_selected,2.847273611240186,-0.008238547891220804,-0.02452560971561546,0.016287061824394655,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,31,3.378126772183549,3.337987814509874,validation_swap_selected,3.387849393315094,-0.009722621131544873,-0.04986157880522013,0.04013895767367526,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,32,2.8787369633204984,2.8476629044517665,validation_swap_selected,2.870195550650983,0.00854141266951558,-0.022532646199216355,0.031074058868731935,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,33,3.368023984358615,3.3185489731229887,rcss_selected,3.359242997014197,0.008780987344418012,-0.04069402389120835,0.049475011235626365,True,diagnostic Stage16 calibrated-risk probe
PeMS7_1026,0.3,34,3.285030173230033,3.2529822459104376,validation_swap_selected,3.2985480493536654,-0.013517876123632533,-0.045565803443227804,0.03204792731959527,True,diagnostic Stage16 calibrated-risk probe
