dataset,budget,split_seed,default_trace_mae,calibrated_trace_mae,best_baseline_layout,best_baseline_mae,default_delta,calibrated_delta,trace_mae_improvement,calibrated_beats_best_baseline,probe_scope
PeMS7_228,0.1,25,3.377497962047549,3.24844189706894,swap_from_scenario_average,3.3981871760242126,-0.020689213976663456,-0.14974527895527245,0.129056064978609,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,26,3.7909371191331713,3.711210528282901,scenario_cvar_a_trace,3.762638564117852,0.028298555015319415,-0.051428035834951036,0.07972659085027045,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,27,3.2899697318868717,3.251134110461712,multistart_swap_by_validation,3.2994514709934486,-0.009481739106576903,-0.04831736053173641,0.038835621425159506,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,28,3.140359242255431,3.0739839594853247,best_random_by_validation,3.2114882562863896,-0.07112901403095861,-0.1375042968010649,0.06637528277010629,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,29,3.544519011084858,3.397133863781566,validation_swap_selected,3.4508248601577094,0.09369415092714872,-0.053690996376143385,0.1473851473032921,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,30,3.340207729451798,3.269026133796202,rcss_selected,3.4075562793750684,-0.06734854992327044,-0.13853014557886656,0.07118159565559612,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,31,4.010057266495195,3.8471012893600847,validation_swap_selected,3.892605036523508,0.1174522299716867,-0.0455037471634232,0.1629559771351099,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,32,3.121942504743305,3.1675077603080197,robust_coverage_cvar,3.2753476868018456,-0.15340518205854048,-0.1078399264938259,-0.04556525556471458,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,33,3.987919074598868,3.895446619078533,scenario_average_a_trace,4.082562101203852,-0.09464302660498358,-0.1871154821253187,0.09247245552033512,True,diagnostic low-budget calibration-risk probe
PeMS7_228,0.1,34,3.790270511799309,3.6721990107198734,rcss_selected,3.7748609156621584,0.01540959613715076,-0.102661904942285,0.11807150107943576,True,diagnostic low-budget calibration-risk probe
