dataset,budget,split_seed,default_trace_mae,enhanced_trace_mae,best_baseline_layout,best_baseline_mae,default_delta,enhanced_delta,trace_mae_improvement,enhanced_beats_best_baseline,probe_scope
PeMS7_1026,0.3,25,3.1060981131491783,3.0762616000730016,validation_swap_selected,3.1235225773819058,-0.017424464232727477,-0.047260977308904106,0.02983651307617663,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,26,3.15716257654726,3.127145066296422,validation_swap_selected,3.168167655238107,-0.011005078690846659,-0.041022588941684646,0.030017510250837987,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,27,2.8512984405031263,2.828683953532929,validation_swap_selected,2.8383660198469745,0.012932420656151855,-0.009682066314045557,0.02261448697019741,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,28,2.7938802216701184,2.769239413527336,greedy_a_trace,2.8124232592321703,-0.01854303756205189,-0.043183845704834134,0.024640808142782245,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,29,3.053500741940648,3.0134046921241806,validation_swap_selected,3.0310466563841003,0.02245408555654782,-0.017641964259919707,0.04009604981646753,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,30,2.839035063348965,2.820307061250152,validation_swap_selected,2.847273611240186,-0.008238547891220804,-0.026966549990033784,0.01872800209881298,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,31,3.378126772183549,3.339110032844673,validation_swap_selected,3.387849393315094,-0.009722621131544873,-0.048739360470420934,0.03901673933887606,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,32,2.8787369633204984,2.8486838878068523,validation_swap_selected,2.870195550650983,0.00854141266951558,-0.02151166284413053,0.03005307551364611,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,33,3.368023984358615,3.323394635821088,rcss_selected,3.359242997014197,0.008780987344418012,-0.03584836119310886,0.04462934853752687,True,diagnostic weak-row search-budget probe
PeMS7_1026,0.3,34,3.285030173230033,3.252888774008785,validation_swap_selected,3.2985480493536654,-0.013517876123632533,-0.045659275344880346,0.03214139922124781,True,diagnostic weak-row search-budget probe
