dataset,budget,route_parameter_scope,anchor_node,induced_nodes,subnetwork_size,sensor_count,combinations_per_anchor,heuristic_objective,exact_objective,objective_gap,heuristic_validation_mae,exact_validation_mae,validation_mae_gap,layout_match,heuristic_layout,exact_layout,risk_source,initializer
PeMS7_228,0.3,Stage16 promoted row parameters,146,"[54, 57, 58, 65, 66, 68, 77, 81, 85, 87, 95, 99, 142, 145, 146, 148]",16,5,4368,4.233754289782472,4.233754289782472,0.0,2.9154562404753093,2.9154562404753093,0.0,True,"[2, 3, 8, 14, 15]","[2, 3, 8, 14, 15]",train_val,auto
PeMS7_228,0.3,Stage16 promoted row parameters,57,"[54, 57, 58, 65, 66, 69, 77, 81, 87, 95, 99, 100, 142, 145, 146, 148]",16,5,4368,4.639041663981336,4.639041663981336,0.0,3.1467739968753445,3.1467739968753445,0.0,True,"[2, 3, 9, 14, 15]","[2, 3, 9, 14, 15]",train_val,auto
Seattle,0.1,Retained Stage15 current-best route,85,"[82, 83, 84, 85, 86, 87, 88, 90, 91, 117, 118, 119, 120, 277, 278, 279]",16,2,120,7.361310186190224,7.361310186190224,0.0,3.314035432155072,3.314035432155072,0.0,True,"[3, 11]","[3, 11]",val,auto
Seattle,0.1,Retained Stage15 current-best route,91,"[85, 86, 87, 88, 89, 90, 91, 92, 116, 247, 248, 249, 278, 279, 280, 281]",16,2,120,8.110990120224063,8.110990120224063,0.0,3.6576033138064714,3.6576033138064714,0.0,True,"[3, 15]","[3, 15]",val,auto
Seattle,0.1,Retained Stage15 current-best route,119,"[83, 84, 85, 86, 87, 90, 117, 118, 119, 120, 121, 122, 123, 250, 251, 278]",16,2,120,7.665841390117556,7.665841390117556,0.0,3.1292455111211717,3.1292455111211717,0.0,True,"[2, 11]","[2, 11]",val,auto
Seattle,0.2,Stage16 promoted row parameters,85,"[82, 83, 84, 85, 86, 87, 88, 90, 91, 117, 118, 119, 120, 277, 278, 279]",16,3,560,6.106617214288342,6.106617214288342,0.0,3.267769766607101,3.267769766607101,0.0,True,"[3, 11, 13]","[3, 11, 13]",train_val,auto
Seattle,0.2,Stage16 promoted row parameters,91,"[85, 86, 87, 88, 89, 90, 91, 92, 116, 247, 248, 249, 278, 279, 280, 281]",16,3,560,6.562831510386631,6.562831510386631,0.0,3.3332952664678794,3.3332952664678794,0.0,True,"[3, 6, 14]","[3, 6, 14]",train_val,auto
Seattle,0.2,Stage16 promoted row parameters,119,"[83, 84, 85, 86, 87, 90, 117, 118, 119, 120, 121, 122, 123, 250, 251, 278]",16,3,560,6.027778311623026,6.027778311623026,0.0,2.80097475947256,2.80097475947256,0.0,True,"[1, 8, 11]","[1, 8, 11]",train_val,auto
Seattle,0.3,Stage16 promoted row parameters,85,"[82, 83, 84, 85, 86, 87, 88, 90, 91, 117, 118, 119, 120, 277, 278, 279]",16,5,4368,4.415371843651331,4.415371843651331,0.0,2.90879935218908,2.90879935218908,0.0,True,"[3, 6, 9, 12, 14]","[3, 6, 9, 12, 14]",train_val,auto
Seattle,0.3,Stage16 promoted row parameters,91,"[85, 86, 87, 88, 89, 90, 91, 92, 116, 247, 248, 249, 278, 279, 280, 281]",16,5,4368,4.8364788049294285,4.8364788049294285,0.0,2.89827358926128,2.89827358926128,0.0,True,"[1, 4, 7, 8, 13]","[1, 4, 7, 8, 13]",train_val,auto
Seattle,0.3,Stage16 promoted row parameters,119,"[83, 84, 85, 86, 87, 90, 117, 118, 119, 120, 121, 122, 123, 250, 251, 278]",16,5,4368,4.790506158929304,4.790506158929304,0.0,2.579940860659056,2.579940860659056,0.0,True,"[2, 6, 9, 12, 14]","[2, 6, 9, 12, 14]",train_val,auto
