dataset,budget,split_seed,evidence_source,source_label,source_root,initializer,sensor_count,n_nodes,exchange_steps,searched_one_exchange_coverage_pct,stop_reason,peak_trace_rss_mb,validation_mae,final_objective
PeMS7_1026,0.2,34,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,205,1026,20,0.76052404860224,exchange_budget_exhausted,2992.43,3.322135680738577,2.915528238067874
PeMS7_1026,0.3,25,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1543.746,3.090296363936453,2.4958899992338766
PeMS7_1026,0.3,26,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1540.664,3.096512671202581,2.5188373376035615
PeMS7_1026,0.3,27,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1535.027,2.8587723055401297,2.510666466954975
PeMS7_1026,0.3,28,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1533.758,3.116821585412008,2.5057359248893136
PeMS7_1026,0.3,29,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1535.879,2.911388779292139,2.5415160232683185
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1540.879,2.7456165141212696,2.527029554834309
PeMS7_1026,0.3,31,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1530.531,2.885206903316306,2.4813193960100337
PeMS7_1026,0.3,32,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1542.004,2.8987947288279776,2.523326054788798
PeMS7_1026,0.3,33,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1532.133,2.8879869780941103,2.4868152652789863
