dataset,budget_pct,split_seed,trace_source_label,trace_evidence_source,best_baseline_layout,best_baseline_label,common_hidden_count,trace_mean_common_hidden_mae,baseline_mean_common_hidden_mae,mean_hidden_gain,median_hidden_gain,improved_hidden_share,max_hidden_gain,worst_hidden_gain
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,885,3.585624659689092,3.698453352799497,0.11282869311040489,0.055297957472644654,0.6033898305084746,3.9607577870752415,-2.811107450263566
PeMS7_228,10,25,Stage16 calibrated rerun,stage16_replaceable:train_val_lowcert_delta1_fullsearch,validation_swap_selected,Prev. TRACE-SL,189,3.2473723642016137,3.347450769044617,0.10007840484300387,0.08772037262468979,0.6084656084656085,3.7107579226330305,-1.5329327679901876
Seattle,10,25,Stage15 main evidence,stage15_main,rcss_selected,RCSS,267,2.9345773512298376,2.9690607576148755,0.0344834063850379,0.025877625818701233,0.5430711610486891,1.8253145924109888,-2.9809976036524177
