dataset,budget,budget_pct,evidence_source,baseline_layout,baseline_label,mean_delta,win_count,count,paired_t_p_less,paired_t_p_greater,paired_t_p_holm,wilcoxon_p_less,trace_significantly_better_holm,baseline_significantly_better_holm,wilcoxon_supports_trace
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,greedy_a_trace,greedy a trace,-0.12786311132435765,10,10,4.2194055564886444e-09,0.9999999957805944,4.894510445526828e-07,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,greedy_d_logdet,greedy d logdet,-0.6437441392038222,10,10,6.223815563196219e-11,0.9999999999377619,1.0953915391225345e-08,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,multistart_swap_by_validation,Multistart validation-swap,-0.24010014089906648,10,10,3.871751755422672e-13,0.9999999999996129,7.31761081774885e-11,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,observability_proxy,observability proxy,-1.1246625387536178,10,10,1.1165352330312069e-09,0.9999999988834648,1.5854800309043136e-07,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,qr_pod_modes,qr pod modes,-0.3218229571332652,10,10,1.9451692998896094e-09,0.9999999980548308,2.548171782855388e-07,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,random,random,-0.4021042259243972,10,10,7.21684950804333e-10,0.9999999992783151,1.0825274262064995e-07,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,rcss_selected,RCSS,-0.12450667298152811,10,10,1.5282435245607443e-07,0.9999998471756475,8.25251503262802e-06,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,robust_coverage_cvar,robust coverage cvar,-0.3571561270447658,10,10,3.521865494880466e-08,0.999999964781345,2.852711050853177e-06,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,scenario_average_a_trace,scenario average a trace,-0.4349973854205117,10,10,8.520006628521097e-09,0.9999999914799934,8.860806893661941e-07,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,scenario_cvar_a_trace,scenario cvar a trace,-0.40667883447423436,10,10,7.4468209835111674e-09,0.9999999925531791,7.893630242521838e-07,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_best_random_trace,swap from best random trace,-0.2928050747474573,10,10,1.405103919468482e-10,0.9999999998594896,2.3886766630964195e-08,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,-0.12562958729929713,10,10,1.235045446827766e-07,0.9999998764954553,7.017903125291444e-06,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_scenario_average,swap from scenario average,-0.30087072234536766,10,10,6.454871051909619e-08,0.9999999354512895,4.334695338439213e-06,0.0009765625,True,False,True
