case_label,dataset,budget_pct,best_route_label,comparison_route_label,best_route_posterior_trace,comparison_posterior_trace,posterior_trace_delta_vs_best,best_route_test_mae,comparison_test_mae,test_mae_delta_vs_best,best_route_posterior_share_pct,reading
Seattle 20\%,Seattle,20,Seattle diagnostic certified,Zero-weight probe,392.865101,413.291400,20.426299,2.674346,2.710052,0.035706,63.105871,"Within a matched route probe, the lower posterior-trace route also achieves lower held-out MAE."
Seattle 30\%,Seattle,30,Seattle diagnostic certified,Zero-weight probe,345.779869,355.193422,9.413553,2.487537,2.519570,0.032033,63.783040,"Within a matched route probe, the lower posterior-trace route also achieves lower held-out MAE."
PeMS7\_228 10\%,PeMS7_228,10,Calibrated low-cert,Stage15 certified,347.039813,382.606022,35.566209,3.248442,3.377498,0.129056,18.849844,"Within a matched route probe, the lower posterior-trace route also achieves lower held-out MAE."
PeMS7\_228 10\%,PeMS7_228,10,Calibrated low-cert,Zero-weight probe,347.039813,375.175751,28.135938,3.248442,3.417499,0.169057,18.849844,"Within a matched route probe, the lower posterior-trace route also achieves lower held-out MAE."
