dataset,budget,split_seed,layout_type,layout_label,validation_selected_mae,heldout_mae,posterior_trace
PeMS7_1026,0.3,28,best_random_by_validation,Best random,3.4241074041882222,3.07445748836655,832.6047416914126
PeMS7_1026,0.3,28,trace_biopt,TRACE-BiOpt,3.1423460760526543,2.7938802216701184,666.7372346637139
PeMS7_1026,0.3,28,multistart_swap_by_validation,Multistart swap,3.306790990008317,2.98678123466892,772.8938501237136
PeMS7_1026,0.3,28,rcss_selected,RCSS,3.403367144313885,2.820174430595656,656.1229591353014
PeMS7_1026,0.3,28,validation_swap_selected,Prev. TRACE-SL,3.1359220522280777,2.814508274798981,665.0765567395349
PeMS7_1026,0.1,29,best_random_by_validation,Best random,3.678441061251385,3.826667705974985,1373.6397506393123
PeMS7_1026,0.1,29,trace_biopt,TRACE-BiOpt,3.542858199549357,3.68908615345128,1170.8399243993622
PeMS7_1026,0.1,29,multistart_swap_by_validation,Multistart swap,3.5967600996928097,3.72803301191685,1235.709515338346
PeMS7_1026,0.1,29,rcss_selected,RCSS,3.695620907812291,3.687448113059177,1152.307923604224
PeMS7_1026,0.1,29,validation_swap_selected,Prev. TRACE-SL,3.522316533993964,3.6941749796329337,1169.5166772555335
PeMS7_1026,0.2,29,best_random_by_validation,Best random,3.393647102542365,3.526687846610878,1043.2887700907836
PeMS7_1026,0.2,29,trace_biopt,TRACE-BiOpt,3.186634006780352,3.321884737218385,836.8117078069758
PeMS7_1026,0.2,29,multistart_swap_by_validation,Multistart swap,3.287701935262945,3.432051551463817,952.68565623779
PeMS7_1026,0.2,29,rcss_selected,RCSS,3.274363231907766,3.344118903835192,834.7259342364566
PeMS7_1026,0.2,29,validation_swap_selected,Prev. TRACE-SL,3.2031396024397014,3.3380685281345337,839.1950784669596
PeMS7_1026,0.3,29,best_random_by_validation,Best random,3.1706796901570606,3.29022030350224,820.4976045153505
PeMS7_1026,0.3,29,trace_biopt,TRACE-BiOpt,2.9467815026276774,3.053500741940648,661.6047839141215
PeMS7_1026,0.3,29,multistart_swap_by_validation,Multistart swap,3.0426744306240643,3.1622460587393952,753.3320044841477
PeMS7_1026,0.3,29,rcss_selected,RCSS,3.028280728558252,3.0517131549061967,653.3469695956084
PeMS7_1026,0.3,29,validation_swap_selected,Prev. TRACE-SL,2.9358591527257163,3.0310466563841003,664.0377839426062
PeMS7_1026,0.1,30,best_random_by_validation,Best random,3.463240296796197,3.657291012092875,1341.6807233440445
PeMS7_1026,0.1,30,trace_biopt,TRACE-BiOpt,3.3018975313398085,3.4971695277949326,1178.7114941525697
PeMS7_1026,0.1,30,multistart_swap_by_validation,Multistart swap,3.350160919542858,3.537696309150029,1231.2220543610215
PeMS7_1026,0.1,30,rcss_selected,RCSS,3.320663915850755,3.512020084997768,1175.270359673362
