dataset,budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,trace_biopt_mean,best_baseline_mean,best_baseline_layout,trace_minus_best_baseline,trace_beats_best_baseline,baseline_count,paired_delta_mean,paired_delta_std,paired_delta_sem,paired_ci95_low,paired_ci95_high,paired_cohens_dz,paired_paired_t_p,paired_wilcoxon_p,paired_win_count,paired_count,evidence_source
PeMS7_1026,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,3.604650735973128,3.734264512894056,swap_from_greedy_a_trace,-0.12961377692092801,True,21,-0.12961377692092874,0.04127794149853538,0.013053231225855569,-0.15519811012360565,-0.10402944371825182,-3.140025209966628,1.8973744005833403e-06,0.0009765625,10,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20
PeMS7_1026,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,3.2230901138167076,3.3466673348562805,validation_swap_selected,-0.12357722103957292,True,21,-0.12357722103957322,0.027770122915150557,0.008781683931471058,-0.1407893215452565,-0.10636512053388994,-4.450006268144861,9.808551665456158e-08,0.0009765625,10,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20
PeMS7_1026,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,3.0365031789125085,3.0740446590989574,validation_swap_selected,-0.03754148018644887,True,21,-0.037541480186449185,0.01788106873494058,0.005654490420043786,-0.048624281409735,-0.026458678963163364,-2.099509863920555,4.745084614335105e-05,0.0009765625,10,10,stage16_replaceable:pems1026_30_trainval_lowcert
PeMS7_228,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,3.453318517234316,3.5956974141304676,validation_swap_selected,-0.14237889689615146,True,21,-0.14237889689615207,0.06325764843973847,0.02000382484957701,-0.181586393601323,-0.10317140019098114,-2.2507775803867793,2.7795857884851357e-05,0.0009765625,10,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch
PeMS7_228,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,3.0436171595991808,3.3198407464134334,validation_swap_selected,-0.27622358681425263,True,21,-0.2762235868142528,0.04267596986092766,0.013495326611723058,-0.30267442697323,-0.2497727466552756,-6.472579011429841,3.7014834183759366e-09,0.0009765625,10,10,stage16_replaceable:pems7_228_20_30_fullsearch
PeMS7_228,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,2.7413618195321257,3.0772643702038547,validation_swap_selected,-0.335902550671729,True,21,-0.3359025506717287,0.04752954048340487,0.01503016040687398,-0.3653616650692017,-0.3064434362742557,-7.067237495994948,1.7016105615637218e-09,0.0009765625,10,10,stage16_replaceable:pems7_228_20_30_fullsearch
Seattle,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,3.041613165957095,3.097330767024402,rcss_selected,-0.055717601067307,True,21,-0.0557176010673073,0.0412735276341681,0.0130518354393872,-0.0852429040941806,-0.026192298040434,-1.3499597505007457,0.0020835348522547,0.001953125,10,10,stage15_main
Seattle,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,2.7329821723136427,2.815705492975404,validation_swap_selected,-0.08272332066176125,True,21,-0.08272332066176111,0.03537810170772555,0.011187538068950528,-0.10465089527690415,-0.06079574604661807,-2.338263407832782,2.064275920797158e-05,0.0009765625,10,10,stage16_replaceable:seattle_10_20_30_trainval
Seattle,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,2.5143781653231017,2.6095845035366967,validation_swap_selected,-0.09520633821359503,True,21,-0.0952063382135953,0.04190847733566771,0.013252624165025482,-0.12118148157704524,-0.06923119485014535,-2.2717680113032057,2.5861028672752583e-05,0.0009765625,10,10,stage16_replaceable:seattle_10_20_30_trainval
