dataset,budget,budget_pct,split_seed,evidence_source,source_label,best_baseline_layout,best_baseline_label,trace_biopt_mae,best_baseline_mae,paired_margin
PeMS7_1026,0.3,30,34,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.2529822459104376,3.2985480493536654,-0.045565803443227804
PeMS7_228,0.1,10,25,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.24844189706894,3.4244078683981343,-0.17596597132919412
PeMS7_228,0.1,10,26,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.711210528282901,3.779631287005124,-0.06842075872222297
PeMS7_228,0.1,10,27,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.251134110461712,3.4157442929582422,-0.16461018249653003
PeMS7_228,0.1,10,28,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.0739839594853247,3.229417641121304,-0.15543368163597915
PeMS7_228,0.1,10,29,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.397133863781566,3.4508248601577094,-0.053690996376143385
PeMS7_228,0.1,10,30,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.269026133796202,3.4379601680424368,-0.16893403424623488
PeMS7_228,0.1,10,31,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.8471012893600847,3.892605036523508,-0.0455037471634232
PeMS7_228,0.1,10,32,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.1675077603080197,3.379800886769135,-0.2122931264611152
PeMS7_228,0.1,10,33,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.895446619078533,4.112052381995919,-0.21660576291738565
PeMS7_228,0.1,10,34,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.6721990107198734,3.834529718333166,-0.1623307076132927
PeMS7_228,0.2,20,25,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.8978351309679584,3.1300293427526054,-0.23219421178464694
PeMS7_228,0.2,20,26,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.200691061392335,3.503779040548085,-0.3030879791557499
PeMS7_228,0.2,20,27,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.842242896982921,3.156673474054942,-0.31443057707202104
PeMS7_228,0.2,20,28,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.760106313519268,2.989936808520819,-0.22983049500155106
PeMS7_228,0.2,20,29,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.0477459573392265,3.339335606829459,-0.29158964949023236
