dataset,budget,budget_pct,default_route_label,probe_route_label,default_val_mae,probe_val_mae,default_test_mae,probe_test_mae,test_probe_minus_default
Seattle,0.2,20,Seattle diagnostic certified route,Zero-weight strong-search probe,2.956907,2.970256,2.674346,2.710052,0.035706
Seattle,0.3,30,Seattle diagnostic certified route,Zero-weight strong-search probe,2.710750,2.732324,2.487537,2.519570,0.032033
