budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,layout_type,mean,std,count
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.084112199903738,0.22557276673601523,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,rcss_selected,3.08556525219785,0.22625189959026676,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.0955114992893256,0.22613598504551483,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,3.1683273413680686,0.22665450607982968,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,3.214277893307988,0.21982104629772053,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_best_random_trace,3.26788761676303,0.21556059744775927,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_average,3.273679753901584,0.24788764820138864,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_cvar,3.3074020342547223,0.2562491293812437,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,best_random_by_validation,3.3321844114641186,0.22125544506803885,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,robust_coverage_cvar,3.378311686693052,0.25131407072593775,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,best_random_by_trace,3.3827252759809845,0.22609394899989957,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,random,3.4206302834085234,0.22908912782100968,1000
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_average_a_trace,3.4260834954471924,0.27111253881671454,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,3.4298747647064793,0.274855347355323,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,3.4466825321409074,0.2824182762541534,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,3.451271603272887,0.2692355728106592,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,coverage,3.466517712672374,0.2340276935043329,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,4.1827486677143995,0.3580001508219214,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,degree,4.211970151533147,0.3560790978215031,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,4.474792677847977,0.35868112696005805,10
