budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,validation_swap_selected_minus_random_mean,validation_swap_selected_minus_random_std,validation_swap_selected_minus_best_random_by_validation_mean,validation_swap_selected_minus_best_random_by_validation_std,validation_swap_selected_minus_top_variance_mean,validation_swap_selected_minus_top_variance_std,validation_swap_selected_minus_observability_proxy_mean,validation_swap_selected_minus_observability_proxy_std,validation_swap_selected_minus_greedy_a_trace_mean,validation_swap_selected_minus_greedy_a_trace_std,validation_swap_selected_minus_greedy_d_logdet_mean,validation_swap_selected_minus_greedy_d_logdet_std,validation_swap_selected_minus_graph_sampling_laplacian_mean,validation_swap_selected_minus_graph_sampling_laplacian_std,validation_swap_selected_minus_qr_pod_modes_mean,validation_swap_selected_minus_qr_pod_modes_std,validation_swap_selected_minus_scenario_cvar_a_trace_mean,validation_swap_selected_minus_scenario_cvar_a_trace_std,validation_swap_selected_minus_multistart_swap_by_validation_mean,validation_swap_selected_minus_multistart_swap_by_validation_std,validation_swap_selected_minus_swap_from_scenario_cvar_mean,validation_swap_selected_minus_swap_from_scenario_cvar_std,rcss_selected_minus_random_mean,rcss_selected_minus_random_std,rcss_selected_minus_best_random_by_validation_mean,rcss_selected_minus_best_random_by_validation_std,rcss_selected_minus_top_variance_mean,rcss_selected_minus_top_variance_std,rcss_selected_minus_observability_proxy_mean,rcss_selected_minus_observability_proxy_std,rcss_selected_minus_greedy_a_trace_mean,rcss_selected_minus_greedy_a_trace_std,rcss_selected_minus_greedy_d_logdet_mean,rcss_selected_minus_greedy_d_logdet_std,rcss_selected_minus_graph_sampling_laplacian_mean,rcss_selected_minus_graph_sampling_laplacian_std,rcss_selected_minus_qr_pod_modes_mean,rcss_selected_minus_qr_pod_modes_std,rcss_selected_minus_scenario_cvar_a_trace_mean,rcss_selected_minus_scenario_cvar_a_trace_std,rcss_selected_minus_multistart_swap_by_validation_mean,rcss_selected_minus_multistart_swap_by_validation_std,rcss_selected_minus_swap_from_scenario_cvar_mean,rcss_selected_minus_swap_from_scenario_cvar_std,robust_coverage_cvar_minus_random_mean,robust_coverage_cvar_minus_random_std,robust_coverage_cvar_minus_best_random_by_validation_mean,robust_coverage_cvar_minus_best_random_by_validation_std,robust_coverage_cvar_minus_top_variance_mean,robust_coverage_cvar_minus_top_variance_std,robust_coverage_cvar_minus_observability_proxy_mean,robust_coverage_cvar_minus_observability_proxy_std,robust_coverage_cvar_minus_greedy_a_trace_mean,robust_coverage_cvar_minus_greedy_a_trace_std,robust_coverage_cvar_minus_greedy_d_logdet_mean,robust_coverage_cvar_minus_greedy_d_logdet_std,robust_coverage_cvar_minus_graph_sampling_laplacian_mean,robust_coverage_cvar_minus_graph_sampling_laplacian_std,robust_coverage_cvar_minus_qr_pod_modes_mean,robust_coverage_cvar_minus_qr_pod_modes_std,robust_coverage_cvar_minus_scenario_cvar_a_trace_mean,robust_coverage_cvar_minus_scenario_cvar_a_trace_std,robust_coverage_cvar_minus_multistart_swap_by_validation_mean,robust_coverage_cvar_minus_multistart_swap_by_validation_std,robust_coverage_cvar_minus_swap_from_scenario_cvar_mean,robust_coverage_cvar_minus_swap_from_scenario_cvar_std
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,-0.17776943889442917,0.02852756658547541,-0.11129146466132193,0.05344608763483712,-0.2582823893748504,0.09036745003524692,-0.7162523168868193,0.1979215203463478,0.028455449690723843,0.0336915541762338,-0.7300673454483602,0.09896443176110838,-1.086019901140324,0.1819754994447845,-0.3179564520118124,0.05967728348771531,-0.1800708930047849,0.060937037772899376,-0.010830444054306554,0.022559361960855395,-0.04151817214374205,0.03263991530573759,-0.18878358627675262,0.031698023390185834,-0.12230561204364539,0.06141613387479802,-0.26929653675717385,0.10253724189759816,-0.7272664642691427,0.18695551572398045,0.017441302308400398,0.029740927528923378,-0.7410814928306835,0.10381503896866738,-1.0970340485226475,0.196952248330189,-0.3289705993941358,0.06747704154370929,-0.19108504038710836,0.0558014683222036,-0.02184459143663,0.035869276125535046,-0.0525323195260655,0.031908515679098734,-0.03657616268746224,0.03187096411264884,0.029901811545644995,0.05382538634617466,-0.11708911316788347,0.08611432729100163,-0.5750590406798524,0.16540890290887794,0.16964872589769078,0.05540351052913213,-0.5888740692413932,0.07409305785942796,-0.9448266249333571,0.17646540146151715,-0.17676317580484543,0.058127674659059,-0.03887761679781798,0.03251766358168489,0.13036283215266037,0.054304982606459724,0.09967510406322488,0.028678967208803644
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,-0.28518833074869393,0.031148373795581365,-0.21375236947933293,0.050262681865695144,-0.37749155075183743,0.0959942233885787,-1.0010853177140526,0.1467391425991368,-0.0042858902847856765,0.018168844153342783,-0.5201669181642388,0.06974169331110684,-1.2145707170933795,0.14552368029271345,-0.1982457360936881,0.03830874590410319,-0.28310161343466284,0.06229475994976206,-0.09509949222197371,0.04059106784257747,-0.15645153573705536,0.03905266220421531,-0.2842588788067401,0.031636365848254834,-0.2128229175373791,0.04844965421608735,-0.3765620988098836,0.09325096855773823,-1.0001558657720988,0.14451023661625784,-0.0033564383428318577,0.017971529110663135,-0.5192374662222848,0.06967086503705311,-1.2136412651514257,0.14296026168505296,-0.19731628415173427,0.035410979693851145,-0.282172161492709,0.06229479330733463,-0.09417004028001989,0.03825553747782813,-0.15552208379510155,0.04067361710876649,-0.05160942474349937,0.054412569269701644,0.019826536525861638,0.06801676548744869,-0.14391264474664286,0.09823625258890104,-0.7675064117088579,0.14892754468420252,0.2292930157204089,0.07217403049504932,-0.28658801215904406,0.08580043685689948,-0.9809918110881849,0.13114323119946772,0.03533316991150648,0.08216049111635106,-0.04952270742946827,0.06245206594719971,0.13847941378322087,0.05258033011170445,0.0771273702681392,0.057198618465000024
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,-0.3465856243095669,0.024003821407047436,-0.2581397523651624,0.030843433487591585,-0.3558301056075231,0.07619880739895835,-1.1087040086154432,0.1422879144842398,-0.02146684019036944,0.012849215194045317,-0.3726378730419511,0.06029516757659529,-1.4007480187490207,0.14109857310684287,-0.09428268226911274,0.014370770852377143,-0.37722694417393093,0.048289671565869836,-0.14023323420903178,0.022475447098630152,-0.23335737515576627,0.03985727512208351,-0.33506503121067327,0.02267174405842733,-0.24661915926626882,0.03253742188329843,-0.34430951250862946,0.0740970643333185,-1.0971834155165496,0.14221776391147362,-0.009946247091475824,0.013090198023391274,-0.3611172799430575,0.060926995683508456,-1.3892274256501271,0.14120312932800558,-0.08276208917021913,0.013068866694361327,-0.3657063510750373,0.048772290680424255,-0.12871264111013817,0.02730523135678299,-0.22183678205687266,0.03962514936883367,-0.042318596715471335,0.05418812236040462,0.04612727522893314,0.05774530556919239,-0.05156307801342752,0.06193261003753373,-0.8044369810213474,0.14248797203736946,0.28280018740372614,0.0694142879069901,-0.06837084544785554,0.08513157885166038,-1.096480991154925,0.1405860931934769,0.20998434532498284,0.07081464164854141,-0.07295991657983536,0.06361247229949943,0.1640337933850638,0.06941017731958835,0.0709096524383293,0.06549151239051806
