budget,candidate_count,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,best_layout,wins
0.2,50,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,1
0.2,100,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,1
0.2,200,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,1
0.2,500,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,1
