method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
gsp,3.428766679507322,5.91199385035055,0.08780565802687455,PeMS7_228,0.3,68,160,random,154,23,2026,,15.203825175954083,70.33160281586633,664.5348248130105
gls_map,3.0960786424858777,5.26073876835764,0.07640195575775148,PeMS7_228,0.3,68,160,random,154,23,2026,,246.03621692458591,553.2305333933053,150.18167577660583
historical_tod_mean,3.5636438802083332,6.340966578275736,0.10053245637871892,PeMS7_228,0.3,68,160,random,155,23,2026,,,,
neighbor_average,7.744738136574074,12.07892287703692,0.21611199193750202,PeMS7_228,0.3,68,160,random,155,23,2026,,,,
gsp,3.6019432295598848,6.252122198641377,0.09756986992682211,PeMS7_228,0.3,68,160,random,155,23,2026,,15.208865797008137,70.32159684761115,664.4846063005174
gls_map,3.292563563674218,5.706544550584159,0.0858391372924738,PeMS7_228,0.3,68,160,random,155,23,2026,,253.1190812764131,528.3181743495279,147.50091776654074
historical_tod_mean,3.4705907118055563,6.218334862369324,0.09665992021613062,PeMS7_228,0.3,68,160,random,156,23,2026,,,,
neighbor_average,7.432889539930557,11.356537669213816,0.19521371511667523,PeMS7_228,0.3,68,160,random,156,23,2026,,,,
gsp,3.496140309320065,6.138899349232825,0.09424777720993033,PeMS7_228,0.3,68,160,random,156,23,2026,,15.213913822359649,68.47079393165204,664.4567618399933
gls_map,3.1935174916095725,5.618849578559574,0.08275249891996271,PeMS7_228,0.3,68,160,random,156,23,2026,,264.00911651614285,789.9296533540504,146.7531200314118
historical_tod_mean,3.315824273003472,5.918436482524582,0.08972273754672598,PeMS7_228,0.3,68,160,random,157,23,2026,,,,
neighbor_average,7.479093967013888,11.359836092519139,0.18285937873686658,PeMS7_228,0.3,68,160,random,157,23,2026,,,,
gsp,3.3440472756776383,5.844872783292596,0.08666586278011937,PeMS7_228,0.3,68,160,random,157,23,2026,,15.215753223047656,70.12509892742209,664.4231861765949
gls_map,3.0044636403003944,5.217015074136948,0.07427616390190146,PeMS7_228,0.3,68,160,random,157,23,2026,,250.9674342933078,607.7464034063648,147.63219105644046
historical_tod_mean,3.567336968315972,6.354365072316547,0.09961961287768938,PeMS7_228,0.3,68,160,random,158,23,2026,,,,
neighbor_average,7.544633246527778,11.668098425083924,0.206465989743362,PeMS7_228,0.3,68,160,random,158,23,2026,,,,
gsp,3.554086724473511,6.275174646611902,0.0962573706328369,PeMS7_228,0.3,68,160,random,158,23,2026,,15.20511209416192,70.20719233468564,664.5214524117387
gls_map,3.2884041271547737,5.7747513173914315,0.08481263572452437,PeMS7_228,0.3,68,160,random,158,23,2026,,266.981124424095,785.2814434206626,145.4261939191164
historical_tod_mean,3.474178005642361,6.150836819825414,0.09532727951427411,PeMS7_228,0.3,68,160,random,159,23,2026,,,,
neighbor_average,8.05153030960648,12.133838987515126,0.20853949880476153,PeMS7_228,0.3,68,160,random,159,23,2026,,,,
gsp,3.481055444801318,6.061025881145771,0.09193025285088764,PeMS7_228,0.3,68,160,random,159,23,2026,,15.215419115606363,68.23187155457437,664.4335731845774
gls_map,3.2006348485930616,5.567806129791908,0.08215410224344204,PeMS7_228,0.3,68,160,random,159,23,2026,,257.9896108337823,667.2796154568688,147.6820273049135
historical_tod_mean,3.4918311089409726,6.200423115272366,0.09681522457699647,PeMS7_228,0.3,68,160,random,160,23,2026,,,,
neighbor_average,7.467181712962963,11.715778289874727,0.1955270451664373,PeMS7_228,0.3,68,160,random,160,23,2026,,,,
gsp,3.47647042440421,6.1212362971250265,0.09354683107936954,PeMS7_228,0.3,68,160,random,160,23,2026,,15.212857720379008,70.0965411778598,664.4511678975222
gls_map,3.2225178181729053,5.694179188845461,0.08377853353271078,PeMS7_228,0.3,68,160,random,160,23,2026,,262.12949999270097,637.7539766850902,145.57309734762447
historical_tod_mean,3.4023394639756948,6.116499790747375,0.0934586373235969,PeMS7_228,0.3,68,160,random,161,23,2026,,,,
