method,certificate,pearson_mae,spearman_mae,n
gsp,posterior_trace,0.21779040003925454,0.25775431115415454,648
gsp,condition_number,0.2183813643753312,0.21828980971461323,648
gsp,information_logdet,-0.23291559569718479,-0.25008732728453653,648
gls_map,posterior_trace,0.8396603754592284,0.8516119521895656,648
gls_map,condition_number,0.8186366057669437,0.8459156178406759,648
gls_map,information_logdet,-0.7947799333888985,-0.7968593489919351,648
