method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
neighbor_average,7.588390631359381,11.840699909493507,0.1929452263553478,PeMS7_228,0.2,46,182,random,155,28,2026,,,,
gsp,3.700213757434879,6.345974328066314,0.08862910604433398,PeMS7_228,0.2,46,182,random,155,28,2026,,16.418025466677477,97.24363509536622,663.0067523968106
gls_map,3.3172045344310503,5.717230345407228,0.07981227164210333,PeMS7_228,0.2,46,182,random,155,28,2026,,303.73422161821,1453.5038667439,132.35926575632683
historical_tod_mean,3.8753738839285714,6.784644336271296,0.09079756142648657,PeMS7_228,0.2,46,182,random,156,28,2026,,,,
neighbor_average,7.050931967338218,10.831999755999052,0.1793501177762247,PeMS7_228,0.2,46,182,random,156,28,2026,,,,
gsp,3.5971039011141865,6.2628604459565995,0.08589095310393799,PeMS7_228,0.2,46,182,random,156,28,2026,,16.41362480067011,97.48568045427486,663.0447634048709
gls_map,3.225178169564656,5.636338705091265,0.07572419649571444,PeMS7_228,0.2,46,182,random,156,28,2026,,298.90148262188035,1101.297657047206,133.12352201919052
historical_tod_mean,3.763796169108669,6.73931993780611,0.08870335351597598,PeMS7_228,0.2,46,182,random,157,28,2026,,,,
neighbor_average,7.28199818121693,11.503072033078478,0.18126133473711048,PeMS7_228,0.2,46,182,random,157,28,2026,,,,
gsp,3.5338769781966,6.229731747580095,0.08660882533922103,PeMS7_228,0.2,46,182,random,157,28,2026,,16.42220690266673,97.08934167081001,662.9313170547676
gls_map,3.183345665194332,5.640511520577266,0.07747800985433974,PeMS7_228,0.2,46,182,random,157,28,2026,,303.5013544800379,992.827738836224,131.94451245089888
historical_tod_mean,3.7878185573107452,6.752657482724696,0.08881376371289419,PeMS7_228,0.2,46,182,random,158,28,2026,,,,
neighbor_average,7.098846726190477,11.308571397103899,0.17959781989402457,PeMS7_228,0.2,46,182,random,158,28,2026,,,,
gsp,3.554883186880138,6.221497735287959,0.0854434406402474,PeMS7_228,0.2,46,182,random,158,28,2026,,16.41729484707633,96.85944656423618,662.9916825706201
gls_map,3.0832123954048587,5.4745143121190365,0.07286866946749461,PeMS7_228,0.2,46,182,random,158,28,2026,,288.47699993158346,998.8736584573628,135.4689870445422
historical_tod_mean,3.7718398485195364,6.628769233353196,0.0891355540562204,PeMS7_228,0.2,46,182,random,159,28,2026,,,,
neighbor_average,7.425032432844933,11.682815552097237,0.19906057850026906,PeMS7_228,0.2,46,182,random,159,28,2026,,,,
gsp,3.6885459866586463,6.231559971895324,0.09075715380701756,PeMS7_228,0.2,46,182,random,159,28,2026,,16.41544393049742,97.21299133569757,663.0237837618599
gls_map,3.240561183969019,5.648648207423538,0.08139110546951131,PeMS7_228,0.2,46,182,random,159,28,2026,,288.9389483783888,1122.8532319488145,135.0403058143694
historical_tod_mean,3.8461049107142853,6.818567896333379,0.09079558148682082,PeMS7_228,0.2,46,182,random,160,28,2026,,,,
neighbor_average,7.04919681013431,11.180992403815257,0.18266734554299555,PeMS7_228,0.2,46,182,random,160,28,2026,,,,
gsp,3.6079529231779413,6.28871575756512,0.08889129175363127,PeMS7_228,0.2,46,182,random,160,28,2026,,16.41976957627355,97.21368829113094,662.9762552988365
gls_map,3.1734216011696557,5.590369401185818,0.07767061649602715,PeMS7_228,0.2,46,182,random,160,28,2026,,292.8425743419799,1116.0508045665001,132.1843247219617
historical_tod_mean,3.928509949252136,6.859291382557571,0.09231128146315218,PeMS7_228,0.2,46,182,random,161,28,2026,,,,
neighbor_average,6.917704199735449,10.993181900591903,0.17479058054112676,PeMS7_228,0.2,46,182,random,161,28,2026,,,,
gsp,3.720456634193548,6.38338921522724,0.08888425712567727,PeMS7_228,0.2,46,182,random,161,28,2026,,16.417719705170366,97.3840721354512,662.9881939464728
gls_map,3.306205270502234,5.767253646700581,0.07843351820604698,PeMS7_228,0.2,46,182,random,161,28,2026,,295.0804335101735,1041.217472079221,132.4103923302783
historical_tod_mean,3.9049075186965814,6.906940382489431,0.0907235447522796,PeMS7_228,0.2,46,182,random,162,28,2026,,,,
neighbor_average,7.132552719271468,11.15743420644157,0.1864416411842368,PeMS7_228,0.2,46,182,random,162,28,2026,,,,
gsp,3.692763592779756,6.386769866042407,0.08683916532128609,PeMS7_228,0.2,46,182,random,162,28,2026,,16.41454830240631,97.26526580593077,663.0307254836836
