method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
gsp,4.431787420950482,7.482403606849745,0.11224752283095323,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.415529823923684,687.5817654988476,4472.980044857282
gls_map,3.9180303107060723,6.539466417350935,0.09736522015671228,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1341.9164325321424,11426.57235918676,1222.2491255126015
historical_tod_mean,4.589804428870229,7.793137731327072,0.11824893793246541,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.611691319569842,11.94288458159482,0.19740609367506667,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.468229967191202,7.504868618722742,0.11595978137328247,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.416817100645037,687.5379166828047,4472.911425386302
gls_map,3.881804622277697,6.526908106293933,0.10060455315339416,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1337.451736058717,10179.701401025826,1223.6314545384807
historical_tod_mean,4.628737661008789,7.852046789922155,0.11918185803561811,PeMS7_1026,0.1,103,923,random,8,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.493890945387423,11.656758809211281,0.20123575695758644,PeMS7_1026,0.1,103,923,random,8,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.453137108049617,7.5615076545441715,0.11640971282090244,PeMS7_1026,0.1,103,923,random,8,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.412303740604735,685.2822983890588,4472.984488721369
gls_map,4.028012203134398,6.78075991787393,0.10315053904301554,PeMS7_1026,0.1,103,923,random,8,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1348.9044121668262,9663.740208142552,1222.0761771777131
historical_tod_mean,4.562025663596966,7.787319082078779,0.11784946884289577,PeMS7_1026,0.1,103,923,random,9,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,8.01499588700293,12.213971549864224,0.1983003329340716,PeMS7_1026,0.1,103,923,random,9,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.395737189294378,7.506246866058283,0.11504456437026664,PeMS7_1026,0.1,103,923,random,9,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.417144735213604,687.4946509482014,4472.94491907309
gls_map,3.922102876895272,6.691965369936877,0.1027277038723063,PeMS7_1026,0.1,103,923,random,9,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1357.2216866863237,10394.601610249905,1226.4340679199677
historical_tod_mean,4.601759124458289,7.831136407988898,0.11884740811994941,PeMS7_1026,0.1,103,923,random,10,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.486662729224348,11.460133753478322,0.19780437156793873,PeMS7_1026,0.1,103,923,random,10,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.4366401832322495,7.518862619702121,0.11600801795869817,PeMS7_1026,0.1,103,923,random,10,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.414261426428205,685.4787775570945,4472.9233173123075
gls_map,3.9877048126020833,6.584726920775547,0.10099047011743326,PeMS7_1026,0.1,103,923,random,10,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1343.8734808802046,8562.780747973502,1223.4577928241001
historical_tod_mean,4.640869165312387,7.872949188813824,0.11993395591951289,PeMS7_1026,0.1,103,923,random,11,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.417344621503951,11.448047952868901,0.19874962184565118,PeMS7_1026,0.1,103,923,random,11,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.483923368982505,7.546592636220087,0.1184456244668429,PeMS7_1026,0.1,103,923,random,11,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41658000250706,685.0160930882663,4472.898309096797
