split_seed,budget,random,best_random_by_validation,best_random_by_trace,top_variance,coverage,greedy_a_trace,scenario_average_a_trace,scenario_cvar_a_trace,swap_from_scenario_cvar,multistart_swap_by_validation,best_layout,best_mae,cvar_minus_random_mean,cvar_minus_best_val_random,cvar_minus_greedy_a,swap_cvar_minus_random_mean,swap_cvar_minus_best_val_random,swap_cvar_minus_greedy_a
20,0.1,3.6823965789506485,3.689362296616515,3.528059882393655,3.592667756118723,3.738463352459242,3.524430209326574,3.579476107063959,3.536613708479717,3.401102883003721,3.41849944711705,swap_from_scenario_cvar,3.401102883003721,-0.1457828704709314,-0.1527485881367978,0.012183499153143096,-0.28129369594692744,-0.28825941361279384,-0.12332732632285293
21,0.1,3.686661315885912,3.4671198381128034,3.4638920992043927,3.5661444680624625,3.870600921230655,3.530190732687068,3.612446950898764,3.4770587465716942,3.4310514046948186,3.488154013229828,swap_from_scenario_cvar,3.4310514046948186,-0.20960256931421783,0.009938908458890783,-0.05313198611537384,-0.25560991119109344,-0.036068433417984824,-0.09913932799224945
22,0.1,3.65818766728941,3.467681541776048,3.467681541776048,3.504969077551283,3.794073337773885,3.497389335148326,3.5800379897008336,3.513849087502196,3.357445969167268,3.411489994801787,swap_from_scenario_cvar,3.357445969167268,-0.14433857978721365,0.04616754572614834,0.016459752353870094,-0.3007416981221418,-0.11023557260877981,-0.13994336598105805
23,0.1,3.4735226625772504,3.3442136594220804,3.336159502616981,3.4551240569976978,3.6171991007005166,3.324123615953503,3.3523190254846384,3.3195394335592097,3.3380831664993647,3.2366113258048035,multistart_swap_by_validation,3.2366113258048035,-0.15398322901804073,-0.024674225862870713,-0.004584182394293368,-0.13543949607788575,-0.0061304929227157245,0.013959550545861621
24,0.1,3.5189332277557783,3.519628321844934,3.519628321844934,3.346310354421925,3.555879661220356,3.3274783679943405,3.4366080438037154,3.448647608531326,3.334660408054699,3.3105085099606693,multistart_swap_by_validation,3.3105085099606693,-0.07028561922445231,-0.07098071331360778,0.12116924053698552,-0.18427281970107945,-0.18496791379023492,0.007182040060358386
20,0.2,3.435841454062822,3.2448152315008425,3.5079217498964024,3.391367407783775,3.468241757991956,3.298417629173579,3.4125094076831823,3.353416028276588,3.3124924309457504,3.287978461020089,best_random_by_validation,3.2448152315008425,-0.08242542578623402,0.10860079677574541,0.054998399103008744,-0.12334902311707152,0.06767719944490791,0.014074801772171242
21,0.2,3.4573417387198435,3.3128877158266152,3.579509321790758,3.342096860643659,3.57226746523377,3.287048535663614,3.354426815857074,3.2837745364299984,3.294124420348317,3.31299001809136,scenario_cvar_a_trace,3.2837745364299984,-0.17356720228984512,-0.02911317939661684,-0.0032739992336154877,-0.16321731837152642,-0.018763295478298136,0.007075884684703215
22,0.2,3.4315269972854385,3.3257475511017134,3.5091295727754934,3.2227775065190936,3.4881854645282253,3.290957600208336,3.402378810088417,3.2983978466351997,3.33726761248394,3.228806376438331,top_variance,3.2227775065190936,-0.13312915065023878,-0.027349704466513636,0.007440246426863695,-0.09425938480149831,0.011520061382226832,0.04631001227560416
23,0.2,3.2899132614589672,3.11405671303183,3.334239756008091,3.148320308668984,3.315226545555752,3.1238879196432325,3.148880754121072,3.137825080591917,3.149573129126169,3.1389055310719627,best_random_by_validation,3.11405671303183,-0.15208818086705023,0.023768367560086823,0.013937160948684468,-0.14034013233279818,0.035516416094338865,0.02568520948293651
24,0.2,3.298778569940483,3.15408046105672,3.278960566215984,3.0445780984254336,3.3200830812649653,3.186228976833879,3.175690091806976,3.2159115830251586,3.190565586436473,3.106638182788524,top_variance,3.0445780984254336,-0.08286698691532424,0.06183112196843865,0.029682606191279604,-0.10821298350400976,0.036485125379753125,0.004336609602594077
20,0.3,3.2777992764757022,2.981832890545593,3.4420877596493646,3.187424001690263,3.22721766347261,3.1855679721617043,3.1690812762834657,3.070919745161583,3.2001174080083463,3.0781383945352343,best_random_by_validation,2.981832890545593,-0.20687953131411918,0.08908685461598997,-0.11464822700012123,-0.07768186846735592,0.21828451746275324,0.014549435846642034
21,0.3,3.309264506132071,3.06578412309379,3.3856132117303748,3.1350396826290283,3.297751159926281,3.1804036957583977,3.246977479577816,3.185571403070062,3.2217310803323755,3.105074393774949,best_random_by_validation,3.06578412309379,-0.12369310306200898,0.11978727997627203,0.005167707311664493,-0.08753342579969559,0.15594695723858543,0.04132738457397789
22,0.3,3.2915014775061433,3.1010244082646965,3.34608441176792,3.0522626380230924,3.209284617242308,3.1838510625086203,3.1765288561180025,3.1605419742408927,3.157276781100131,3.0082243843714505,multistart_swap_by_validation,3.0082243843714505,-0.13095950326525063,0.059517565976196174,-0.023309088267727596,-0.1342246964060121,0.056252372835434716,-0.026574281408489053
23,0.3,3.1672512198486884,3.0044636403003944,3.2269238835129057,3.0329988258157785,3.1607143629700825,3.001525543932464,3.089000657426493,3.001452495237173,2.9737784953488395,2.992514216758696,swap_from_scenario_cvar,2.9737784953488395,-0.16579872461151535,-0.00301114506322131,-7.304869529090041e-05,-0.19347272449984887,-0.030685144951554832,-0.027747048583624423
24,0.3,3.1638445995718962,3.024749530065942,3.266761988808744,2.8594446538041614,3.1580016001256954,3.106054553853052,3.089308975437097,3.066729172802371,3.0343493531489583,3.0975928984655567,top_variance,2.8594446538041614,-0.09711542676952511,0.04197964273642896,-0.03932538105068106,-0.12949524642293797,0.009599823083016101,-0.07170520070409392
