budget,cvar_minus_random_mean,cvar_minus_random_mean,cvar_minus_best_val_random,cvar_minus_best_val_random,cvar_minus_greedy_a,cvar_minus_greedy_a,swap_cvar_minus_random_mean,swap_cvar_minus_random_mean,swap_cvar_minus_best_val_random,swap_cvar_minus_best_val_random,swap_cvar_minus_greedy_a,swap_cvar_minus_greedy_a
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.1,-0.14479857356297118,0.04959152286451508,-0.038459414625647434,0.07715860544232658,0.0184192647068663,0.06373582600577873,-0.23147152420782557,0.06948585404767445,-0.1251323652705018,0.1145714523544595,-0.06825368593798808,0.07344386289042489
0.2,-0.12481538930173848,0.04106775050684663,0.027547480488228082,0.059125758226454855,0.020556882687244205,0.022656537016380773,-0.12587576842538084,0.02702574375531073,0.026487101364585718,0.0322091752798615,0.01949650356360184,0.017108136506964213
0.3,-0.14488925780448386,0.04244306121470494,0.061472039648333164,0.04665056236385027,-0.03443760754043126,0.04829850311953876,-0.12448159231917008,0.04592173310658048,0.08187970513364692,0.10325238211004537,-0.014029942055117494,0.04345448588559418
