budget,layout_type,mean,std,count
0.1,best_random_by_trace,3.463084269567202,0.07673125842186632,5
0.1,best_random_by_validation,3.497601131554476,0.12510950128546963,5
0.1,coverage,3.7152432746769306,0.12835377920755983,5
0.1,greedy_a_trace,3.440722452221962,0.10564351454439751,5
0.1,multistart_swap_by_validation,3.3730526581828273,0.09914530884309691,5
0.1,random,3.6039402904917996,0.11842011092527469,1000
0.1,scenario_average_a_trace,3.5121776233903823,0.11230937844057193,5
0.1,scenario_cvar_a_trace,3.4591417169288285,0.08502168790109677,5
0.1,swap_from_scenario_cvar,3.372468766283974,0.042099180577673055,5
0.1,top_variance,3.4930431426304183,0.09795338624444336,5
0.2,best_random_by_trace,3.441952193337346,0.12840851408318066,5
0.2,best_random_by_validation,3.230317534503544,0.09415887651582756,5
0.2,coverage,3.4328008629149336,0.11214216725283527,5
0.2,greedy_a_trace,3.2373081323045283,0.07835810185297237,5
0.2,multistart_swap_by_validation,3.2150637138820537,0.09034814162765341,5
0.2,random,3.382680404293511,0.11014479432512657,1000
0.2,scenario_average_a_trace,3.2987771759113445,0.1268705729403939,5
0.2,scenario_cvar_a_trace,3.257865014991772,0.08308713225651451,5
0.2,swap_from_scenario_cvar,3.25680463586813,0.08193655342381043,5
0.2,top_variance,3.229828036408189,0.1411648119886598,5
0.3,best_random_by_trace,3.3334942510938617,0.08728958468805552,5
0.3,best_random_by_validation,3.0355709184540833,0.04787885208330622,5
0.3,coverage,3.2105938807473953,0.05728954946492423,5
0.3,greedy_a_trace,3.1314805656428475,0.07999434181473089,5
0.3,multistart_swap_by_validation,3.0563088575811777,0.05229926146028272,5
0.3,random,3.2419322159069,0.1120906280144447,1000
0.3,scenario_average_a_trace,3.154179448968575,0.06668861999114181,5
0.3,scenario_cvar_a_trace,3.097042958102416,0.07518027507814916,5
0.3,swap_from_scenario_cvar,3.11745062358773,0.10821487341020768,5
0.3,top_variance,3.0534339603924647,0.12516353588466564,5
