method,certificate,pearson_mae_mean,pearson_mae_std,pearson_mae_min,pearson_mae_max,pearson_mae_count,spearman_mae_mean,spearman_mae_std,spearman_mae_min,spearman_mae_max,spearman_mae_count
gls_map,condition_number,0.514727628444262,0.042493899823196436,0.484679903720218,0.544775353168306,2,0.27977539726972833,0.06893181392592625,0.2310332442032166,0.3285175503362401,2
gls_map,information_logdet,0.0808509933596768,0.0632576699625414,0.0361210659671032,0.1255809207522504,2,-0.0087707603540188,0.09474948342326493,-0.0757687625965318,0.0582272418884942,2
gls_map,posterior_trace,0.21979296430818016,0.05942273117984862,0.1777747481342839,0.2618111804820764,2,0.1541002707230424,0.01107860733291133,0.1462665123518378,0.161934029094247,2
gsp,condition_number,0.02349534978983845,0.10899386699811582,-0.0535749526722739,0.1005656522519508,2,0.0627680544017851,0.0760684654054015,0.0089795266791714,0.1165565821243988,2
gsp,information_logdet,-0.2883307744765282,0.031128027578797582,-0.3103416138624579,-0.2663199350905986,2,-0.2515783654876842,0.07801122452856382,-0.306740631360498,-0.1964160996148704,2
gsp,posterior_trace,0.1863108782935578,0.026689249619384275,0.1674387289029107,0.2051830276842049,2,0.21625883256165762,0.03675377387139112,0.190269989823,0.2422476753003152,2
