method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet,candidate_count
historical_tod_mean,4.083353746947497,7.016719986744287,0.0955258063602236,PeMS7_228,0.2,46,182,random,0,25,2151,,,,,100
neighbor_average,7.365731837606837,11.227121707396286,0.185998935169155,PeMS7_228,0.2,46,182,random,0,25,2151,,,,,100
gsp,3.7910322574321698,6.626441080773429,0.0933603309842644,PeMS7_228,0.2,46,182,random,0,25,2151,,16.41986455586875,97.16902595833147,662.9630129178073,100
gls_map,3.511155432978843,6.162437126001347,0.0856594874949776,PeMS7_228,0.2,46,182,random,0,25,2151,,295.44772229476075,843.2640938008557,133.37373724372682,100
historical_tod_mean,3.967406755570818,6.754920200116124,0.0915350906583519,PeMS7_228,0.2,46,182,random,1,25,2151,,,,,100
neighbor_average,7.24517163970289,11.343124036238384,0.17923827541277,PeMS7_228,0.2,46,182,random,1,25,2151,,,,,100
gsp,3.701114748676748,6.396630162508281,0.0882768036892037,PeMS7_228,0.2,46,182,random,1,25,2151,,16.412038190140144,97.4653599562982,663.0508891208661,100
gls_map,3.375079283856093,5.7331678048503685,0.0799173291115624,PeMS7_228,0.2,46,182,random,1,25,2151,,287.7623947949597,766.12571544336,134.19787483949665,100
historical_tod_mean,4.049954164758852,6.9528465410485465,0.0935754265994801,PeMS7_228,0.2,46,182,random,2,25,2151,,,,,100
neighbor_average,7.56946097883598,11.8598961499898,0.1872326685536487,PeMS7_228,0.2,46,182,random,2,25,2151,,,,,100
gsp,3.781025761749836,6.567631657540315,0.0902689299412473,PeMS7_228,0.2,46,182,random,2,25,2151,,16.423186676848594,97.36200361403344,662.91913991645,100
gls_map,3.5790825700683424,6.12247220806206,0.0844474935719872,PeMS7_228,0.2,46,182,random,2,25,2151,,306.63213463284933,1070.7735694868854,132.7101748067518,100
historical_tod_mean,4.100944797390111,7.046945320385312,0.0948254704573746,PeMS7_228,0.2,46,182,random,3,25,2151,,,,,100
neighbor_average,7.248850223850223,11.187861629554144,0.1758319365404443,PeMS7_228,0.2,46,182,random,3,25,2151,,,,,100
gsp,3.860186976679836,6.664647042404727,0.0932644121741367,PeMS7_228,0.2,46,182,random,3,25,2151,,16.412469945413953,95.36481688758356,663.0589569169058,100
gls_map,3.558743281197838,6.084398012086504,0.0846120733601049,PeMS7_228,0.2,46,182,random,3,25,2151,,304.6443834819245,902.833828458494,130.87728098406524,100
historical_tod_mean,3.993531269078144,6.912973409736912,0.0920962095224167,PeMS7_228,0.2,46,182,random,4,25,2151,,,,,100
neighbor_average,7.359971827940578,11.324672252208732,0.1777637144900959,PeMS7_228,0.2,46,182,random,4,25,2151,,,,,100
gsp,3.788265470142627,6.564303908883226,0.0889427245359386,PeMS7_228,0.2,46,182,random,4,25,2151,,16.423606726268687,96.16685406338652,662.9148442240671,100
