budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,coverage,10,0,3.4130561552670904,0.6602565644778692,,,503.7075230379919,4.762993742904376,,,512.3057737073727,19.279282835112316,,,579.2269830718515,16.26148526452331,,,0.049104518556256596,7.314236392868128e-18,,,0.24168881600075293,0.07289072018368153,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,degree,10,0,3.7415131045691394,0.6308396531690093,,,597.2802097183342,6.490383977846224,,,629.5509603399789,20.84292906961619,,,1379.0484169696733,38.7957675613726,,,0.15707175608417906,2.925694557147251e-17,,,0.6116684080970038,0.17944111927024603,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,10,0,4.086120945584897,0.8088357417311811,,,629.2771387493458,5.933039064781112,,,660.5888339221676,27.60463798464269,,,1616.62377668979,70.62465621988157,,,0.27981345769487015,5.851389114294502e-17,,,0.9441222577743724,0.09185188999936876,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,10,0,3.2649510350105118,0.6509273173211645,,,460.0616798092682,5.198181585888492,,,467.410927707772,15.965204443055825,,,467.3330300587721,26.04179750767264,,,0.04989222871027154,0.0027689303052954813,,,0.0786068293994131,0.029321165691332626,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,10,0,4.01620612583932,0.7861880566376779,,,552.1832386347302,12.327565147864986,,,552.1720673570701,26.69454248094594,,,1670.3289424273294,99.13247660792301,,,0.0625504565583728,0.0026559389240422672,,,0.8676411949871448,0.15957158378356312,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,10,4,3.2077584440647002,0.6544310017955255,3.026017834154693,0.7520665418952508,455.1487086558912,5.145568554454482,454.53464707735026,4.388297161022288,460.918137538906,15.964560827000522,453.5676090396734,9.090412698416648,494.6214516747799,15.505535611853517,500.18081010509525,13.998539792001353,0.04917505976407881,0.0017665563232278191,0.04858525688756512,0.0024107950783255824,0.01732111513692746,0.01580929252740354,0.0,0.0
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,10,0,3.690104925385419,0.6118427007209922,,,583.9875489721942,5.540440099056994,,,608.1699801712282,18.96984884007562,,,1420.5154176744095,40.50485852356572,,,0.13128502566916173,2.925694557147251e-17,,,0.559010455384384,0.19484246423093898,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,10,0,3.571394171753777,0.7022334851900051,,,488.13865181204784,14.061303497822434,,,477.8781734041424,20.51795234291889,,,1036.356686284798,191.7425740576333,,,0.05020182623349136,0.0030202245701492067,,,0.40505238733597376,0.16051757836983532,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,quality_coverage_sample,500,1,3.3667760685659327,0.6221410363674723,3.650645436772993,,507.67707477633525,9.643973034270987,496.0882498687743,,515.0675730995742,22.91831859048208,506.5593924974204,,673.377955875352,93.72835067515838,630.7816689667378,,0.046582121722773005,0.002504308718277973,0.0478504526394168,,0.19244037705807934,0.08352477821750337,0.0,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,random_validation_pool,500,0,3.4521867628464737,0.6349112119933437,,,517.553911380762,10.491001607865782,,,525.4990559391581,25.7231736850694,,,769.0611378398706,128.15634608609173,,,0.058425598620527444,0.007664597847652209,,,0.2828185442506385,0.10007588589964835,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,robust_coverage_cvar,10,0,3.378229063544844,0.6689888928891476,,,484.96654991196965,8.309087338576049,,,433.3706556305565,16.422364638362424,,,590.5662638781298,56.10338093280398,,,0.042011208214131714,0.0015883459814837707,,,0.1968881225991808,0.04045105538588116,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_average_a_trace,10,0,3.375460494157307,0.6655630214073521,,,476.3294676911008,5.871906386130591,,,445.4726910005919,16.42288597283131,,,602.4987730992679,34.44075574289521,,,0.050456558372849424,0.005885549115900742,,,0.19533933955851587,0.06628096124833212,,
