method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
gls_map,3.226984902826263,5.173797615998935,0.0837287697477171,Seattle,0.1,32,291,random,3,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,512.9616493894712,790.0825049997732,156.68848074291597
historical_tod_mean,4.365852396610035,7.213334308376768,0.1290099743200286,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.282681763797495,8.588674099269145,0.1534844889259732,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.0288470938786896,6.3965591908912085,0.1136444062223684,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.1494688260681,239.09578954154784,1038.6862235166416
gls_map,3.2337161373181185,5.123370264839797,0.0823662510212512,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,500.07299929584246,640.881223100698,158.03280295972496
historical_tod_mean,4.31999698729717,7.1317066299787335,0.1267590689662005,Seattle,0.1,32,291,random,5,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.646727476967596,8.899318027893031,0.1581024462325201,Seattle,0.1,32,291,random,5,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,3.994344663747913,6.261384554552748,0.1096758559328666,Seattle,0.1,32,291,random,5,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.15194443060563,239.5853070995711,1038.735654744266
gls_map,3.2308120790770958,5.057949067639004,0.0793196451531245,Seattle,0.1,32,291,random,5,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,501.4155046669468,806.0896610252014,158.3028172633046
historical_tod_mean,4.332976778356479,7.178101163658964,0.1284617635488613,Seattle,0.1,32,291,random,6,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
