method,certificate,pearson_mae_mean,pearson_mae_std,pearson_mae_min,pearson_mae_max,pearson_mae_count,spearman_mae_mean,spearman_mae_std,spearman_mae_min,spearman_mae_max,spearman_mae_count
gls_map,condition_number,0.877412306572572,0.014273445709232726,0.8570984361583899,0.9013939599003348,10,0.8925176814892621,0.013710817381090045,0.8716634153073264,0.9189585981607534,10
gls_map,information_logdet,-0.7794129850783372,0.02346328109181042,-0.8067296933665069,-0.7390195376806503,10,-0.8190399253963128,0.01401169437108464,-0.8474891104838036,-0.8040074974553875,10
gls_map,posterior_trace,0.8747849662440881,0.01845847674964,0.853516044658975,0.905452567360152,10,0.8770349086840996,0.015536846995165846,0.8597498990901593,0.9039416064069165,10
gsp,condition_number,0.2765891462012744,0.22509479265061338,-0.0161442040071628,0.5805505293860287,10,0.26026796049016643,0.22423129877981715,-0.0937297937488419,0.5304504560538738,10
gsp,information_logdet,-0.23258788200744931,0.21952720652047455,-0.5280074033696602,0.0450592261221909,10,-0.2690218038111209,0.22865093749746881,-0.5705878808572175,0.0403418816708974,10
gsp,posterior_trace,0.27630308398185865,0.22532988214929017,-0.0156872417025095,0.580189174556834,10,0.26483873462137036,0.21412173236344603,-0.0371633047352114,0.5312424884626025,10
