method,certificate,pearson_mae,spearman_mae,n
gsp,posterior_trace,0.07392822133420768,0.025470256026238237,351
gsp,condition_number,0.07356332577801196,-0.023857422399378617,351
gsp,information_logdet,-0.08872769798167739,-0.024060830356792264,351
gls_map,posterior_trace,0.9520158543623409,0.9392209808231806,351
gls_map,condition_number,0.8319695904959702,0.9000994978487458,351
gls_map,information_logdet,-0.9242065802867214,-0.9005540438709062,351
