method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,3.9260254911924117,6.734451780807779,0.09402241263316312,PeMS7_228,0.1,23,205,random,0,30,2056,,,,
neighbor_average,7.618132904245709,11.576385265629234,0.19844660574093473,PeMS7_228,0.1,23,205,random,0,30,2056,,,,
gsp,3.972154818519174,6.5546667964168055,0.09352689734042295,PeMS7_228,0.1,23,205,random,0,30,2056,,19.217892604230208,161.73140044780294,661.2387204148937
gls_map,3.682982587550751,6.1324792736291425,0.08965145667950343,PeMS7_228,0.1,23,205,random,0,30,2056,,385.9285330372126,2097.6673217904504,108.56593638153034
historical_tod_mean,3.9171750084688344,6.689001864392047,0.0934601535152019,PeMS7_228,0.1,23,205,random,1,30,2056,,,,
neighbor_average,7.82115543134598,11.996904415334084,0.1971907113253605,PeMS7_228,0.1,23,205,random,1,30,2056,,,,
gsp,3.980063034386179,6.536490616227379,0.0928693676733297,PeMS7_228,0.1,23,205,random,1,30,2056,,19.215766370330556,161.7590810209084,661.257282931693
gls_map,3.714085244827845,6.103029185271907,0.0885001708867198,PeMS7_228,0.1,23,205,random,1,30,2056,,364.37485269504594,2117.850270196893,111.23060563101728
historical_tod_mean,4.027918487466125,6.841958480059694,0.09670725296872901,PeMS7_228,0.1,23,205,random,2,30,2056,,,,
neighbor_average,7.212800361336948,11.215001776579893,0.19889194321876602,PeMS7_228,0.1,23,205,random,2,30,2056,,,,
gsp,3.9958739617174697,6.618039425494292,0.09548381674094102,PeMS7_228,0.1,23,205,random,2,30,2056,,19.219453858275855,161.3828742961402,661.346349105478
gls_map,3.8127698054250265,6.273679309705317,0.08919999288076151,PeMS7_228,0.1,23,205,random,2,30,2056,,395.3783475739451,3082.2410241931543,107.9229167734553
historical_tod_mean,3.9139794207317067,6.690745007904408,0.09345874294936228,PeMS7_228,0.1,23,205,random,3,30,2056,,,,
neighbor_average,7.449402382565492,11.201141985561724,0.18808560583069966,PeMS7_228,0.1,23,205,random,3,30,2056,,,,
