budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.1,coverage,18,0,1.5360225678102644,0.1612328266785578,,,393.29448390746387,1.1173904528989147,,,239.1021735871885,25.912511990702434,,,2824.5396290954827,10.31261861471397,,,0.0688463342830867,0.0,,,0.27418270074236495,0.09140068061206444,,
0.1,degree,18,0,1.652632104311634,0.3651360709848494,,,416.6612705737955,0.8946123977708624,,,293.96027320399935,26.16041884549871,,,2604.3358283586895,24.13273935143451,,,0.19249031771790087,2.856025168737767e-17,,,0.4375842572957294,0.25517881282319044,,
0.1,graph_sampling_laplacian,18,0,1.5501518001158576,0.17593850242158346,,,445.40728955025884,0.6962273253618724,,,301.812133719682,0.704214496141563,,,4148.798998377571,30.99055213492266,,,0.29846259351961435,5.712050337475533e-17,,,0.3209666576149884,0.10101257286314716,,
0.1,greedy_a_trace,18,0,1.4489090297143372,0.2488580551131285,,,333.8394868419713,0.44872708068630207,,,213.58019423088254,11.504689599576045,,,1255.5642526600282,28.152295089416306,,,0.053062061843496704,0.0012167630139112767,,,0.1653973291370915,0.11706483442657352,,
0.1,greedy_d_logdet,18,0,2.080293580578963,0.9078616135418646,,,436.89435945115093,14.677222801009277,,,284.4269221074379,7.998664864153497,,,6057.024945107045,1209.376212755001,,,0.06473132075421345,0.0038048104222725243,,,0.6835330517390167,0.3640786041653197,,
0.1,observability_proxy,18,0,1.6311797503464167,0.29219256317183245,,,397.19377895263324,1.195981637084045,,,286.57332464350173,22.674392612512356,,,2056.8351451965354,13.588449436498848,,,0.1420944891419454,0.0,,,0.5655121571641178,0.40154232510004934,,
0.1,qr_pod_modes,18,0,1.5852563870785599,0.2652942559072862,,,357.8668632136823,0.6682824681914485,,,224.47203535483095,2.8158718237442395,,,2553.600989270596,21.43388778648936,,,0.061827955140202055,0.0014247729677054864,,,0.3280278073477575,0.13587715071657466,,
0.1,quality_coverage_sample,36,8,1.5099881885416175,0.13405376050808301,1.6336252430743143,0.0,371.5979984541211,7.8436989432443465,377.898540796918,0.0,228.57235439576309,11.038903205094602,232.25979293252888,0.0,1664.464156793395,227.98695636694316,1419.627132745649,0.0,0.05596635657057761,0.001991934679640782,0.0579874166910024,0.0,0.192805652240116,0.17575127006800956,0.0,0.0
0.1,random_validation_pool,18,0,1.5631728872864254,0.3300463141574894,,,375.81340095892915,7.59182187303237,,,249.02515127394793,11.652293949947138,,,2074.885359594599,224.55772848197125,,,0.06187519948792689,0.002639947944570586,,,0.49323199434592063,0.4435468028365873,,
0.1,robust_coverage_cvar,18,2,1.6370696288077498,0.24566523610111535,1.2752205090990132,0.0,362.65127842939165,4.604487847098833,364.6509400272488,0.0,180.21067906365434,5.452058374275554,165.5828380919689,0.0,1649.5200542471825,270.1744474192226,1770.091918603465,0.0,0.0507927150365556,0.0004180513695034488,0.0505466295019456,0.0,0.6048700188095792,0.3054083009294103,0.0,0.0
0.1,scenario_average_a_trace,18,0,1.5127909725389863,0.17965951410947406,,,365.4194766212805,4.12835949658665,,,172.58169059644757,10.621120620402948,,,1885.249261606344,73.98708797429629,,,0.06840505414116212,0.003307255132376104,,,0.2488062131236527,0.08792794596315404,,
