budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.1,coverage,10,0,3.8360619977753396,0.28136390328810146,,,392.76842046857007,1.8555857778500588,,,276.88488441225667,33.528482502313835,,,2894.8048923252436,84.81155576634161,,,0.0688463342830867,0.0,,,0.467754427095928,0.15368662314189818,,
0.1,degree,10,0,3.9918080322382528,0.3175599168192502,,,415.6676284276483,1.9736809928007635,,,333.931014426219,26.461140043285372,,,2656.933538191718,97.29132240601349,,,0.1924903177179009,0.0,,,0.6345990847442502,0.18198482258185872,,
0.1,graph_sampling_laplacian,10,0,4.0449983181803155,0.5928392177013944,,,443.18681212566554,3.625675370030809,,,333.2637320988339,29.226702582489956,,,4156.980918044837,120.04262150361129,,,0.29846259351961424,5.851389114294502e-17,,,0.6515945128071705,0.22618284508941572,,
0.1,greedy_a_trace,10,1,3.511874664352516,0.30729995568068913,3.3682570932559317,,334.2878792162821,1.409347009747838,336.4286442238051,,239.9689016082604,24.004747888832487,261.920803768449,,1301.5881282213863,72.6358123092088,1346.4934641819405,,0.05741621183186589,0.005609113386776658,0.0512800850911621,,0.12195438775125907,0.04897638718548757,0.0418068762188034,
0.1,greedy_d_logdet,10,0,4.318907310819616,0.38878730862611516,,,428.28177772230913,16.73162583552291,,,333.29244241378717,31.111660283548296,,,5808.74019002245,1092.2822826556358,,,0.0650384794096963,0.0034734707404240205,,,0.924950075148678,0.11457287294296314,,
0.1,multistart_swap_by_validation,10,2,3.433814976362192,0.28361180253631124,3.363648328906375,0.2701518415422988,330.12378932936167,1.26884979343429,330.00620039877754,0.9722275877572019,233.08882990633865,19.469821114006663,228.31934329773173,32.32631008934045,1319.323149031906,58.37380304148454,1273.0217329244,19.027487156105856,0.05269344076248865,0.001962714313465855,0.0522052583528073,0.0033342811981514533,0.04291186394437393,0.03894721312958407,0.0,0.0
0.1,observability_proxy,10,0,3.834811254601038,0.2902100817811777,,,396.6178715029927,2.126879518822362,,,316.743323960529,17.48628130546892,,,2111.6412760831713,75.7703145016251,,,0.1420944891419454,0.0,,,0.4730245942988546,0.11252334049531032,,
0.1,qr_pod_modes,10,0,3.8632110491527905,0.30598171414703085,,,363.0305402189681,4.0091526127143435,,,266.3597927559775,25.268283632978687,,,2977.6899859516257,365.04688831210876,,,0.06069653430318829,0.0030972190125613474,,,0.48584295432808966,0.13623708008999608,,
0.1,quality_coverage_sample,500,0,3.649630233021855,0.29856121815599024,,,375.1827542387536,8.324078835614756,,,278.0964591226289,29.517284639381785,,,1882.6915261046788,392.83210115807253,,,0.05764967565000788,0.0035444766946790478,,,0.26938199601042767,0.11243828334255851,,
0.1,random_validation_pool,500,0,3.71573218490302,0.3045689982191602,,,375.6832807920646,8.571295172269215,,,278.9751825049544,27.220016378621633,,,1933.7786114970222,397.17489065455,,,0.06621795706264214,0.006738635030291094,,,0.33769695818641504,0.1307260863502546,,
