budget,best_layout,wins
0.1,multistart_swap_by_validation,2
0.1,robust_coverage_cvar,1
0.1,swap_from_greedy_a_trace,2
0.1,swap_from_scenario_average,1
0.1,swap_from_scenario_cvar,1
0.1,validation_swap_selected,3
0.2,multistart_swap_by_validation,2
0.2,random,1
0.2,robust_coverage_cvar,1
0.2,top_variance,1
0.2,validation_swap_selected,5
0.3,random,1
0.3,top_variance,1
0.3,validation_swap_selected,8
